fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
 7,00;0,270;0,36;20,70;0,045; 45,0;170,0;1,001000;3,00;0,45; 8,800000;6
 6,30;0,300;0,34; 1,60;0,049; 14,0;132,0;0,994000;3,30;0,49; 9,500000;6
 8,10;0,280;0,40; 6,90;0,050; 30,0; 97,0;0,995100;3,26;0,44;10,100000;6
 7,20;0,230;0,32; 8,50;0,058; 47,0;186,0;0,995600;3,19;0,40; 9,900000;6
 7,20;0,230;0,32; 8,50;0,058; 47,0;186,0;0,995600;3,19;0,40; 9,900000;6
 8,10;0,280;0,40; 6,90;0,050; 30,0; 97,0;0,995100;3,26;0,44;10,100000;6
 6,20;0,320;0,16; 7,00;0,045; 30,0;136,0;0,994900;3,18;0,47; 9,600000;6
 7,00;0,270;0,36;20,70;0,045; 45,0;170,0;1,001000;3,00;0,45; 8,800000;6
 6,30;0,300;0,34; 1,60;0,049; 14,0;132,0;0,994000;3,30;0,49; 9,500000;6
 8,10;0,220;0,43; 1,50;0,044; 28,0;129,0;0,993800;3,22;0,45;11,000000;6
 8,10;0,270;0,41; 1,45;0,033; 11,0; 63,0;0,990800;2,99;0,56;12,000000;5
 8,60;0,230;0,40; 4,20;0,035; 17,0;109,0;0,994700;3,14;0,53; 9,700000;5
 7,90;0,180;0,37; 1,20;0,040; 16,0; 75,0;0,992000;3,18;0,63;10,800000;5
 6,60;0,160;0,40; 1,50;0,044; 48,0;143,0;0,991200;3,54;0,52;12,400000;7
 8,30;0,420;0,62;19,25;0,040; 41,0;172,0;1,000200;2,98;0,67; 9,700000;5
 6,60;0,170;0,38; 1,50;0,032; 28,0;112,0;0,991400;3,25;0,55;11,400000;7
 6,30;0,480;0,04; 1,10;0,046; 30,0; 99,0;0,992800;3,24;0,36; 9,600000;6
 6,20;0,660;0,48; 1,20;0,029; 29,0; 75,0;0,989200;3,33;0,39;12,800000;8
 7,40;0,340;0,42; 1,10;0,033; 17,0;171,0;0,991700;3,12;0,53;11,300000;6
 6,50;0,310;0,14; 7,50;0,044; 34,0;133,0;0,995500;3,22;0,50; 9,500000;5
 6,20;0,660;0,48; 1,20;0,029; 29,0; 75,0;0,989200;3,33;0,39;12,800000;8
 6,40;0,310;0,38; 2,90;0,038; 19,0;102,0;0,991200;3,17;0,35;11,000000;7
 6,80;0,260;0,42; 1,70;0,049; 41,0;122,0;0,993000;3,47;0,48;10,500000;8
 7,60;0,670;0,14; 1,50;0,074; 25,0;168,0;0,993700;3,05;0,51; 9,300000;5
 6,60;0,270;0,41; 1,30;0,052; 16,0;142,0;0,995100;3,42;0,47;10,000000;6
 7,00;0,250;0,32; 9,00;0,046; 56,0;245,0;0,995500;3,25;0,50;10,400000;6
 6,90;0,240;0,35; 1,00;0,052; 35,0;146,0;0,993000;3,45;0,44;10,000000;6
 7,00;0,280;0,39; 8,70;0,051; 32,0;141,0;0,996100;3,38;0,53;10,500000;6
 7,40;0,270;0,48; 1,10;0,047; 17,0;132,0;0,991400;3,19;0,49;11,600000;6
 7,20;0,320;0,36; 2,00;0,033; 37,0;114,0;0,990600;3,10;0,71;12,300000;7
 8,50;0,240;0,39;10,40;0,044; 20,0;142,0;0,997400;3,20;0,53;10,000000;6
 8,30;0,140;0,34; 1,10;0,042;  7,0; 47,0;0,993400;3,47;0,40;10,200000;6
 7,40;0,250;0,36; 2,05;0,050; 31,0;100,0;0,992000;3,19;0,44;10,800000;6
 6,20;0,120;0,34; 1,50;0,045; 43,0;117,0;0,993900;3,42;0,51; 9,000000;6
 5,80;0,270;0,20;14,95;0,044; 22,0;179,0;0,996200;3,37;0,37;10,200000;5
 7,30;0,280;0,43; 1,70;0,080; 21,0;123,0;0,990500;3,19;0,42;12,800000;5
 6,50;0,390;0,23; 5,40;0,051; 25,0;149,0;0,993400;3,24;0,35;10,000000;5
 7,00;0,330;0,32; 1,20;0,053; 38,0;138,0;0,990600;3,13;0,28;11,200000;6
